epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.818,1.23439,1.57924,1.0965,0.95787,0.93523,0.97857,0.65448,1.17839,0.80689,1.07555,0.000664825,0.000664825,0.000664825
2,674.268,1.22239,0.81704,1.10304,0.96209,0.94858,0.98186,0.63721,1.2181,0.65781,1.11854,0.00130513,0.00130513,0.00130513
3,1001.45,1.2266,0.7187,1.10918,0.94328,0.93117,0.96276,0.62099,1.20777,0.78926,1.11394,0.00191903,0.00191903,0.00191903
4,1321.8,1.19364,0.66003,1.09529,0.9034,0.93963,0.93464,0.60918,1.23359,0.65748,1.1384,0.0018812,0.0018812,0.0018812
5,1654.83,1.17114,0.62358,1.08549,0.9831,0.9731,0.99068,0.68673,1.09818,0.52712,1.06046,0.0018416,0.0018416,0.0018416
6,1885.71,1.16215,0.59295,1.07661,0.98439,0.97283,0.99168,0.68403,1.1051,0.50953,1.05956,0.001802,0.001802,0.001802
7,2081.23,1.15905,0.58557,1.07583,0.98642,0.97468,0.99292,0.6848,1.10442,0.51928,1.05738,0.0017624,0.0017624,0.0017624
8,2245.76,1.14148,0.56884,1.06592,0.98465,0.96443,0.99132,0.68796,1.11116,0.51692,1.04691,0.0017228,0.0017228,0.0017228
9,2411.57,1.13178,0.55792,1.06139,0.98476,0.9818,0.99382,0.69431,1.09038,0.49961,1.04148,0.0016832,0.0016832,0.0016832
10,2574.23,1.12784,0.54358,1.06138,0.98868,0.97864,0.99324,0.69217,1.09151,0.48849,1.03985,0.0016436,0.0016436,0.0016436
11,2745.18,1.11739,0.53801,1.05704,0.98169,0.97579,0.99208,0.69195,1.09247,0.48417,1.05211,0.001604,0.001604,0.001604
12,2920.61,1.11403,0.529,1.05297,0.99156,0.97536,0.99266,0.69948,1.07949,0.47024,1.03709,0.0015644,0.0015644,0.0015644
13,3086.62,1.1173,0.52643,1.05732,0.98586,0.98418,0.994,0.70204,1.07647,0.46979,1.04018,0.0015248,0.0015248,0.0015248
14,3250.11,1.10615,0.51996,1.04539,0.99036,0.9758,0.99395,0.70041,1.08078,0.46958,1.04152,0.0014852,0.0014852,0.0014852
15,3411.32,1.10747,0.51043,1.05312,0.98925,0.98616,0.99403,0.70268,1.07442,0.45227,1.03798,0.0014456,0.0014456,0.0014456
16,3572.54,1.10579,0.50494,1.04686,0.9891,0.97785,0.99415,0.70512,1.06611,0.43527,1.035,0.001406,0.001406,0.001406
17,3732.18,1.08427,0.49301,1.03448,0.99281,0.983,0.99467,0.70883,1.04184,0.45269,1.01537,0.0013664,0.0013664,0.0013664
18,3891,1.09263,0.49925,1.0384,0.9907,0.9822,0.99367,0.70952,1.05511,0.45117,1.02742,0.0013268,0.0013268,0.0013268
19,4051.22,1.07743,0.49076,1.0324,0.98786,0.98932,0.99409,0.70799,1.06656,0.43026,1.02588,0.0012872,0.0012872,0.0012872
20,4212.11,1.07397,0.48217,1.03322,0.99256,0.98299,0.99449,0.71136,1.0503,0.42252,1.02526,0.0012476,0.0012476,0.0012476
21,4375.15,1.08419,0.48691,1.03498,0.99399,0.98213,0.99452,0.71059,1.06274,0.42566,1.02852,0.001208,0.001208,0.001208
22,4538.08,1.06975,0.47849,1.02722,0.9924,0.98813,0.99447,0.71004,1.04987,0.41994,1.02106,0.0011684,0.0011684,0.0011684
23,4699.33,1.0633,0.47159,1.03184,0.9885,0.98597,0.99437,0.70904,1.05583,0.41321,1.02894,0.0011288,0.0011288,0.0011288
24,4859.59,1.06762,0.46666,1.02378,0.98855,0.99169,0.99466,0.71486,1.04007,0.40549,1.01987,0.0010892,0.0010892,0.0010892
25,5021.56,1.06484,0.46788,1.0296,0.99317,0.98813,0.99477,0.71421,1.05448,0.40383,1.024,0.0010496,0.0010496,0.0010496
26,5181.61,1.05951,0.45636,1.02309,0.99247,0.99075,0.99479,0.71472,1.0457,0.39057,1.01379,0.00101,0.00101,0.00101
