epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5339.86,1.06392,0.45588,1.02408,0.99166,0.98819,0.99465,0.71336,1.04358,0.39845,1.02114,0.0009704,0.0009704,0.0009704
28,5503.42,1.05914,0.45936,1.02692,0.99092,0.99284,0.99482,0.72034,1.03224,0.39281,1.01597,0.0009308,0.0009308,0.0009308
29,5666.51,1.05677,0.45442,1.02443,0.98774,0.98932,0.99365,0.7173,1.03924,0.40189,1.01738,0.0008912,0.0008912,0.0008912
30,5828.39,1.05431,0.45043,1.02436,0.99079,0.98813,0.99441,0.72074,1.03182,0.38863,1.01016,0.0008516,0.0008516,0.0008516
31,5989.21,1.0399,0.43964,1.01725,0.99067,0.9913,0.99476,0.71868,1.03771,0.38987,1.01247,0.000812,0.000812,0.000812
32,6148.16,1.03131,0.4369,1.00933,0.98953,0.98932,0.9943,0.7204,1.02923,0.38719,1.00692,0.0007724,0.0007724,0.0007724
33,6306.41,1.03145,0.43605,1.01745,0.996,0.98606,0.99486,0.71951,1.03969,0.37813,1.01057,0.0007328,0.0007328,0.0007328
34,6467.48,1.03413,0.43562,1.01977,0.99162,0.99169,0.99471,0.7214,1.02849,0.38333,1.01159,0.0006932,0.0006932,0.0006932
35,6629.06,1.03055,0.43127,1.01775,0.99364,0.98888,0.99484,0.71983,1.02738,0.37857,1.01033,0.0006536,0.0006536,0.0006536
36,6789.85,1.02404,0.42542,1.00916,0.99393,0.99051,0.99489,0.71992,1.0241,0.3718,1.00873,0.000614,0.000614,0.000614
37,6951.38,1.02538,0.42393,1.01228,0.9921,0.99303,0.99485,0.72416,1.01446,0.36675,1.00656,0.0005744,0.0005744,0.0005744
38,7111.78,1.01571,0.41617,1.00927,0.99483,0.99023,0.99488,0.72299,1.02191,0.3679,1.00734,0.0005348,0.0005348,0.0005348
39,7268.97,1.0167,0.41659,1.00762,0.99287,0.99213,0.99492,0.72465,1.01833,0.36641,1.00817,0.0004952,0.0004952,0.0004952
40,7429.19,1.0198,0.41602,1.00637,0.99326,0.99026,0.99474,0.72467,1.01883,0.3613,1.00582,0.0004556,0.0004556,0.0004556
41,7576.02,1.00468,0.37971,1.02221,0.99376,0.98853,0.99488,0.72515,1.01949,0.36799,1.00602,0.000416,0.000416,0.000416
42,7719.43,0.99275,0.37898,1.01201,0.99288,0.99281,0.99488,0.72573,1.01612,0.37037,1.00633,0.0003764,0.0003764,0.0003764
43,7866.72,0.9923,0.3742,1.01372,0.99445,0.99209,0.9949,0.72282,1.01695,0.37305,1.0069,0.0003368,0.0003368,0.0003368
44,8012.15,0.98998,0.36914,1.01555,0.99462,0.99169,0.99489,0.72617,1.01517,0.36392,1.00423,0.0002972,0.0002972,0.0002972
45,8161.08,0.97996,0.366,1.01011,0.99327,0.9923,0.99477,0.72792,1.00532,0.35572,0.99847,0.0002576,0.0002576,0.0002576
46,8306.44,0.98086,0.36137,1.0122,0.99405,0.98695,0.99479,0.72295,1.02263,0.35939,1.01132,0.000218,0.000218,0.000218
47,8450.39,0.97618,0.35696,1.00866,0.99437,0.98972,0.99486,0.72694,1.00867,0.35117,0.99929,0.0001784,0.0001784,0.0001784
48,8593.51,0.97098,0.36262,1.00112,0.99424,0.9913,0.99491,0.72745,1.00613,0.35062,0.99949,0.0001388,0.0001388,0.0001388
49,8740.75,0.96567,0.34843,1.00183,0.9939,0.9913,0.9949,0.72925,1.00515,0.34823,0.99739,9.92e-05,9.92e-05,9.92e-05
50,8889.27,0.9581,0.34413,1.0006,0.99447,0.99169,0.9949,0.73112,1.00081,0.34335,0.99562,5.96e-05,5.96e-05,5.96e-05
