Training started at 2026-05-02 20:01:07.728807
Dataset   : D:\Computer Vision Project\data\Character dataset
Epochs    : 100
Batch size: 30
Num classes: 30
------------------------------------------------------------
Epoch  59/100 | loss: 0.0831 | acc: 0.9712 | val_loss: 0.1962 | val_acc: 0.9578
Epoch  60/100 | loss: 0.1235 | acc: 0.9667 | val_loss: 0.1804 | val_acc: 0.9622
Epoch  61/100 | loss: 0.0938 | acc: 0.9758 | val_loss: 0.0520 | val_acc: 0.9867
Epoch  62/100 | loss: 0.0037 | acc: 1.0000 | val_loss: 0.0612 | val_acc: 0.9733
Epoch  63/100 | loss: 0.0834 | acc: 0.9784 | val_loss: 0.0335 | val_acc: 0.9867
Epoch  64/100 | loss: 0.0133 | acc: 1.0000 | val_loss: 0.0373 | val_acc: 0.9822
Epoch  65/100 | loss: 0.0900 | acc: 0.9722 | val_loss: 0.0867 | val_acc: 0.9756
Epoch  66/100 | loss: 0.0409 | acc: 0.9667 | val_loss: 0.1086 | val_acc: 0.9689
Epoch  67/100 | loss: 0.0656 | acc: 0.9799 | val_loss: 0.1201 | val_acc: 0.9778
Epoch  68/100 | loss: 0.1655 | acc: 0.9333 | val_loss: 0.0624 | val_acc: 0.9822
Epoch  69/100 | loss: 0.0638 | acc: 0.9815 | val_loss: 0.1378 | val_acc: 0.9689
Epoch  70/100 | loss: 0.0709 | acc: 0.9667 | val_loss: 0.1523 | val_acc: 0.9622
Epoch  71/100 | loss: 0.0685 | acc: 0.9769 | val_loss: 0.1126 | val_acc: 0.9800
Epoch  72/100 | loss: 0.0005 | acc: 1.0000 | val_loss: 0.0461 | val_acc: 0.9778
Epoch  73/100 | loss: 0.0691 | acc: 0.9779 | val_loss: 0.1661 | val_acc: 0.9644
Epoch  74/100 | loss: 0.0255 | acc: 1.0000 | val_loss: 0.1121 | val_acc: 0.9711
Epoch  75/100 | loss: 0.0527 | acc: 0.9830 | val_loss: 0.0626 | val_acc: 0.9778
Epoch  76/100 | loss: 0.0099 | acc: 1.0000 | val_loss: 0.0624 | val_acc: 0.9733
